Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
AAPL, Apple Inc, 44.51, -0.08,-0.18, 8648571, -.1,
ATVI, Activision Blizzard Inc, 44.51, -0.08,-0.18, 8648571, -.1,
ADBE, Adobe Systems Incorporated, 99.1, -0.52,-0.52, 2689240, -.2,
AKAM, Akamai Technologies Inc., 51.02, -0.36,-0.7, 1700915, -.1,
ALXN, Alexion Pharmaceuticals Inc., 132.01, 2.31,1.78, 1600959, .4,
GOOG, Alphabet Inc., 767.545, -4.215,-0.55, 1468065, -1.0,
GOOGL, Alphabet Inc., 797.58, -3.65,-0.46, 1467020, .0,
AMZN, Amazon.com Inc., 777.64, 7.95,1.03, 3643647, 3.2,
AAL, American Airlines Group Inc., 35.64, -0.77,-2.11, 5510588, .0,
AMGN, Amgen Inc., 173, 0.36,0.21, 2871628, .2,
ADI, Analog Devices Inc., 62.16, -0.49,-0.78, 1896545, -.1,
AMAT, Applied Materials Inc., 30.11, -0.04,-0.13, 10809621, .0,
ADSK, Autodesk Inc., 67.63, 0.24,0.36, 2122174, .1,
ADP, Automatic Data Processing Inc., 86.9, -0.58,-0.66, 1863520, -.2,
BIDU, Baidu Inc., 185.17, -1.33,-0.71, 1300251, -.3,
BBBY, Bed Bath &amp; Beyond Inc., 43.13, 0.03,0.07, 1967613, .0,
BIIB, Biogen Inc., 304.68, 1.86,0.61, 1369746, .4,
BMRN, BioMarin Pharmaceutical Inc., 97.05, 1.67,1.75, 1337946, .0,
AVGO, Broadcom Limited, 171.77, -0.95,-0.55, 3172354, -.2,
CA, CA Inc., 32.07, -0.4,-1.23, 2289365, -.2,
CELG, Celgene Corporation, 108.78, 1.43,1.33, 4275630, .5,
CERN, Cerner Corporation, 62.1, -0.67,-1.07, 2099221, -.2,
CHTR, Charter Communications Inc., 265.13, -1.14,-0.43, 1437862, -.1,
CHKP, Check Point Software Technologies Ltd., 75.06, -0.45,-0.6, 971010, -.1,
CSCO, Cisco Systems Inc., 30.92, -0.39,-1.25, 26516368, -1.7,
CTXS, Citrix Systems Inc., 83.19, -0.67,-0.8, 1042641, -.1,
CTSH, Cognizant Technology Solutions Corporation, 53.44, -0.66,-1.22, 5936067, -.4,
CMCSA, Comcast Corporation, 65.995, -0.245,-0.37, 10512643, -.5,
COST, Costco Wholesale Corporation, 152.5559, -0.1141,-0.07, 2091886, .0,
CTRP, Ctrip.com International Ltd., 43.73, -0.02,-0.05, 2875035, .0,
XRAY, DENTSPLY SIRONA Inc., 59.81, -0.22,-0.37, 960442, .0,
DISCA, Discovery Communications Inc., 24.36, -0.05,-0.2, 4304349, .0,
DISCK, Discovery Communications Inc., 23.61, -0.09,-0.38, 1109834, .0,
DISH, DISH Network Corporation, 52.15, 0.1,0.19, 2690270, .0,
DLTR, Dollar Tree Inc., 81.195, -0.795,-0.97, 2301440, -.1,
EBAY, eBay Inc., 31.815, -0.165,-0.52, 7019272, -.2,
EA, Electronic Arts Inc., 82.96, -0.41,-0.49, 2609316, .0,
EXPE, Expedia Inc., 107.95, -3.95,-3.53, 5108596, -.4,
ESRX, Express Scripts Holding Company, 70.205, -0.235,-0.33, 3617077, -.2,
FB, Facebook Inc., 128.93, 0.58,0.45, 13411515, 1.0,
FAST, Fastenal Company, 40.095, -0.715,-1.75, 2308194, -.2,
FISV, Fiserv Inc., 99.2, -0.73,-0.73, 1138941, -.2,
GILD, Gilead Sciences Inc., 78.93, 0.09,0.11, 7487560, .1,
HSIC, Henry Schein Inc., 164.26, 1.49,0.92, 563392, .1,
ILMN, Illumina Inc., 172.93, -2.01,-1.15, 811231, -.2,
INCY, Incyte Corporation, 82.45, 2.09,2.6, 987770, .0,
INTU, Intuit Inc., 108.97, -0.79,-0.72, 1512370, -.2,
ISRG, Intuitive Surgical Inc., 686.68, 2.49,0.36, 222109, .1,
JD, JD.com Inc., 26.2475, 0.1175,0.45, 8541023, .0,
LRCX, Lam Research Corporation, 93.2, -0.16,-0.17, 1420773, .0,
LBTYA, Liberty Global plc, 32.59, -0.055,-0.17, 1683861, .0,
LBTYK, Liberty Global plc, 31.7, -0.15,-0.47, 1532985, .0,
LVNTA, Liberty Interactive Corporation, 38.6, -1.35,-3.38, 1624743, .0,
QVCA, Liberty Interactive Corporation, 18.46, -0.51,-2.69, 3919115, .0,
LLTC, Linear Technology Corporation, 58.47, -0.08,-0.14, 1751049, .0,
MAR, Marriott International, 68.7, -0.59,-0.85, 1989898, -.2,
MXIM, Maxim Integrated Products Inc., 38.86, -0.13,-0.33, 3465172, .0,
MCHP, Microchip Technology Incorporated, 60.42, -0.02,-0.03, 1652175, .0,
MU, Micron Technology Inc., 17.49, 0.04,0.23, 31528528, .0,
MSFT, Microsoft Corporation, 57.285, 0.095,0.17, 31426513, .7,
MDLZ, Mondelez International Inc., 43, -0.02,-0.05, 7084275, .0,
MNST, Monster Beverage Corporation, 146.41, 0.06,0.04, 1041770, .0,
MYL, Mylan N.V., 41.78, 0.29,0.7, 4696846, .1,
NTAP, NetApp Inc., 34.85, -0.2,-0.57, 2003381, -.1,
NTES, NetEase Inc., 238.07, 0.32,0.13, 943343, .0,
NFLX, Netflix Inc., 99.29, 1.95,2, 6765848, .1,
NCLH, Norwegian Cruise Line Holdings Ltd., 35.87, -0.37,-1.02, 2171219, .0,
NVDA, NVIDIA Corporation, 62.96, 0.27,0.43, 10420796, .1,
NXPI, NXP Semiconductors N.V., 83.83, -1.71,-2, 2553456, -.4,
ORLY, O'Reilly Automotive Inc., 272.83, -3.21,-1.16, 743599, -.3,
PCAR, PACCAR Inc., 56.655, -0.275,-0.48, 2202565, -.1,
PAYX, Paychex Inc., 58.375, -0.635,-1.08, 3061211, -.2,
PYPL, PayPal Holdings Inc., 40.72, -0.11,-0.27, 7734598, .0,
QCOM, QUALCOMM Incorporated, 63.04, 0.5,0.8, 8801907, .7,
REGN, Regeneron Pharmaceuticals Inc., 408.86, 6.11,1.52, 901266, .5,
ROST, Ross Stores Inc., 61.94, -0.01,-0.02, 1661730, .0,
SBAC, SBA Communications Corporation, 108.68, -0.22,-0.2, 616118, .0,
STX, Seagate Technology PLC, 36.45, 0,0, 5600814, .0,
SIRI, Sirius XM Holdings Inc., 4.125, -0.04,-0.96, 40279977, -.2,
SWKS, Skyworks Solutions Inc., 76.22, -0.8,-1.04, 4471051, .0,
SBUX, Starbucks Corporation, 53.78, -0.33,-0.61, 7818288, -.2,
SRCL, Stericycle Inc., 81.21, -0.55,-0.67, 1222820, .0,
SYMC, Symantec Corporation, 25.195, 0.325,1.31, 10174561, .2,
TMUS, T-Mobile US Inc., 46.49, -0.69,-1.46, 3487789, .0,
TSLA, Tesla Motors Inc., 205.415, 4.995,2.49, 2402292, .5,
KHC, The Kraft Heinz Company, 89.014, -0.156,-0.17, 3172798, .0,
PCLN, The Priceline Group Inc., 1460.55, 3.33,0.23, 609486, .2,
TSCO, Tractor Supply Company, 68.29, -0.77,-1.11, 1210939, -.1,
TRIP, TripAdvisor Inc., 61.2, -0.62,-1, 1832039, -.1,
FOX, Twenty-First Century Fox Inc., 24.3, -0.02,-0.08, 4980247, .0,
FOXA, Twenty-First Century Fox Inc., 23.915, 0.075,0.31, 20513508, .1,
ULTA, Ulta Salon Cosmetics &amp; Fragrance Inc., 234, 1.01,0.43, 723369, .0,
VRSK, Verisk Analytics Inc., 80.85, -0.64,-0.79, 710627, -.1,
VRTX, Vertex Pharmaceuticals Incorporated, 92.88, -0.22,-0.24, 1609405, .0,
VIAB, Viacom Inc., 37.05, -0.22,-0.59, 3122390, -.1,
VOD, Vodafone Group Plc, 29.04, -0.53,-1.79, 8078232, -.2,
WBA, Walgreens Boots Alliance Inc., 81.39, -0.01,-0.01, 5454174, .0,
WDC, Western Digital Corporation, 54.82, 1.54,2.89, 7008776, .3,
WFM, Whole Foods Market Inc., 28.36, -0.16,-0.56, 3654014, -.1,
XLNX, Xilinx Inc., 53.485, -0.085,-0.16, 1467151, .0,
YHOO, Yahoo! Inc., 43.78, -0.21,-0.48, 12061751, -.2,
